1000	0.80	0.81
2000	2.31	2.35
3000	4.98	5.06
4000	7.40	7.52
5000	11.87	12.07
6000	13.12	13.36
7000	17.39	17.66
8000	20.98	21.29
9000	28.64	29.16
10000	30.45	31.01
11000	31.66	32.28
12000	33.23	33.89
13000	40.38	41.06
14000	48.67	49.39
15000	52.56	53.31
16000	54.98	55.76
17000	69.11	70.46
18000	71.28	72.67
19000	72.96	74.40
20000	74.33	75.82
21000	75.71	77.24
22000	77.00	78.59
23000	78.51	80.16
24000	82.66	84.31
25000	98.99	100.67
26000	113.02	114.78
27000	121.38	123.13
28000	126.72	128.49
29000	130.34	132.15
30000	133.33	135.17
31000	136.21	138.10
32000	138.49	140.41
33000	165.71	169.12
34000	167.98	171.41
35000	170.51	173.99
36000	172.11	175.64
37000	173.57	177.13
38000	174.84	178.44
39000	176.08	179.72
40000	177.52	181.23
41000	178.98	182.74
42000	180.42	184.23
43000	181.82	185.70
44000	183.74	187.65
45000	184.92	188.89
46000	193.83	197.86
47000	214.41	218.50
48000	237.71	241.74
49000	259.43	263.54
50000	274.47	278.55
51000	285.64	289.77
52000	294.34	298.53
53000	300.74	304.93
54000	306.72	310.96
55000	310.50	314.77
56000	315.24	319.53
57000	318.06	322.41
58000	320.71	325.08
59000	324.12	328.53
60000	326.68	331.12
61000	329.43	333.90
62000	332.61	337.13
63000	335.03	339.61
64000	337.63	342.23
65000	339.83	344.55
